HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2024-01-31T22:00:00,2024-01-31T23:00:00,DK2,11.93,1.6
2024-01-31T21:00:00,2024-01-31T22:00:00,DK2,27.799999,3.73
2024-01-31T20:00:00,2024-01-31T21:00:00,DK2,121.800003,16.34
2024-01-31T19:00:00,2024-01-31T20:00:00,DK2,149.300003,20.030001
2024-01-31T18:00:00,2024-01-31T19:00:00,DK2,152.809998,20.5
2024-01-31T17:00:00,2024-01-31T18:00:00,DK2,198.279999,26.6
2024-01-31T16:00:00,2024-01-31T17:00:00,DK2,367.929993,49.360001
2024-01-31T15:00:00,2024-01-31T16:00:00,DK2,193.880005,26.01
2024-01-31T14:00:00,2024-01-31T15:00:00,DK2,149.75,20.09
2024-01-31T13:00:00,2024-01-31T14:00:00,DK2,149.679993,20.08
2024-01-31T12:00:00,2024-01-31T13:00:00,DK2,152.360001,20.440001
2024-01-31T11:00:00,2024-01-31T12:00:00,DK2,152.660004,20.48
2024-01-31T10:00:00,2024-01-31T11:00:00,DK2,168.979996,22.67
2024-01-31T09:00:00,2024-01-31T10:00:00,DK2,312.170013,41.880001
2024-01-31T08:00:00,2024-01-31T09:00:00,DK2,381.350006,51.16
2024-01-31T07:00:00,2024-01-31T08:00:00,DK2,431.589996,57.900002
2024-01-31T06:00:00,2024-01-31T07:00:00,DK2,418.540009,56.150002
2024-01-31T05:00:00,2024-01-31T06:00:00,DK2,190.369995,25.540001
2024-01-31T04:00:00,2024-01-31T05:00:00,DK2,144.529999,19.389999
2024-01-31T03:00:00,2024-01-31T04:00:00,DK2,141.330002,18.959999
2024-01-31T02:00:00,2024-01-31T03:00:00,DK2,138.490005,18.58
2024-01-31T01:00:00,2024-01-31T02:00:00,DK2,137.899994,18.5
2024-01-31T00:00:00,2024-01-31T01:00:00,DK2,137.600006,18.459999
2024-01-30T23:00:00,2024-01-31T00:00:00,DK2,137.080002,18.389999
2024-01-30T22:00:00,2024-01-30T23:00:00,DK2,180.169998,24.17
2024-01-30T21:00:00,2024-01-30T22:00:00,DK2,168.160004,22.559999
2024-01-30T20:00:00,2024-01-30T21:00:00,DK2,401.929993,53.919998
2024-01-30T19:00:00,2024-01-30T20:00:00,DK2,422.799988,56.720001
2024-01-30T18:00:00,2024-01-30T19:00:00,DK2,435.690002,58.450001
2024-01-30T17:00:00,2024-01-30T18:00:00,DK2,457.829987,61.419998
2024-01-30T16:00:00,2024-01-30T17:00:00,DK2,535.950012,71.900002
2024-01-30T15:00:00,2024-01-30T16:00:00,DK2,475.049988,63.73
